datetime,NO1,NO2,NO3,NO4,NO5,NO1_pct_hourly,NO2_pct_hourly,NO3_pct_hourly,NO4_pct_hourly,NO5_pct_hourly,NO1_pct_daily,NO2_pct_daily,NO3_pct_daily,NO4_pct_daily,NO5_pct_daily
2024-07-01 00:00:00+02:00,0.40389,0.48731,0.34452,0.34452,0.40389,,,,,,,,,,
2024-07-01 01:00:00+02:00,0.39956,0.49734,0.33688,0.33688,0.39956,-1.072074079576124,2.0582380825347357,-2.2175780796470423,-2.2175780796470423,-1.072074079576124,,,,,
2024-07-01 02:00:00+02:00,0.39785,0.52697,0.32879,0.32879,0.39785,-0.42797076784464316,5.957694937065194,-2.4014485870339497,-2.4014485870339497,-0.42797076784464316,,,,,
2024-07-01 03:00:00+02:00,0.39683,0.53427,0.32617,0.32617,0.39683,-0.25637803192156694,1.38527809932254,-0.7968612184068857,-0.7968612184068857,-0.25637803192156694,,,,,
2024-07-01 04:00:00+02:00,0.39603,0.52652,0.32879,0.32879,0.39603,-0.20159766146713443,-1.4505774234001567,0.8032621025845454,0.8032621025845454,-0.20159766146713443,,,,,
2024-07-01 05:00:00+02:00,0.39797,0.53267,0.34759,0.34759,0.39797,0.489861879150566,1.168046797842437,5.717935460324219,5.717935460324219,0.489861879150566,,,,,
2024-07-01 06:00:00+02:00,0.40104,0.57005,0.36959,0.36959,0.40104,0.771414930773684,7.017477988247878,6.329296009666541,6.329296009666541,0.771414930773684,,,,,
2024-07-01 07:00:00+02:00,0.40948,0.55113,0.38782,0.38782,0.40948,2.1045282266108023,-3.319007104639937,4.932492762250074,4.932492762250074,2.1045282266108023,,,,,
2024-07-01 08:00:00+02:00,0.41529,0.55148,0.39888,0.39888,0.41529,1.4188727166161819,0.06350588790302591,2.851838481769886,2.851838481769886,1.4188727166161819,,,,,
2024-07-01 09:00:00+02:00,0.40822,0.54054,0.40344,0.40344,0.40822,-1.702424811577441,-1.9837528106186886,1.1432009626955564,1.1432009626955564,-1.702424811577441,,,,,
2024-07-01 10:00:00+02:00,0.41073,0.5386,0.39774,0.39774,0.41073,0.6148645338297953,-0.3589003589003714,-1.4128494943486114,-1.4128494943486114,0.6148645338297953,,,,,
2024-07-01 11:00:00+02:00,0.4097,0.57039,0.38942,0.38942,0.4097,-0.2507730139020725,5.902339398440404,-2.091818776084875,-2.091818776084875,-0.2507730139020725,,,,,
2024-07-01 12:00:00+02:00,0.41347,0.56869,0.3811,0.3811,0.41347,0.9201855015865235,-0.2980416907729655,-2.136510708232753,-2.136510708232753,0.9201855015865235,,,,,
2024-07-01 13:00:00+02:00,0.41164,0.46133,0.37802,0.37802,0.41164,-0.442595593392503,-18.87847509187782,-0.8081868276042958,-0.8081868276042958,-0.442595593392503,,,,,
2024-07-01 14:00:00+02:00,0.395,0.395,0.36936,0.36936,0.395,-4.0423671168982604,-14.377994060650723,-2.2908840802074004,-2.2908840802074004,-4.0423671168982604,,,,,
2024-07-01 15:00:00+02:00,0.37096,0.37096,0.37096,0.37096,0.37096,-6.086075949367087,-6.086075949367087,0.4331817197314347,0.4331817197314347,-6.086075949367087,,,,,
2024-07-01 16:00:00+02:00,0.3974,0.3974,0.37244,0.37244,0.3974,7.127453094673264,7.127453094673264,0.3989648479620467,0.3989648479620467,7.127453094673264,,,,,
2024-07-01 17:00:00+02:00,0.41084,0.48481,0.37722,0.37722,0.41084,3.3819828887770464,21.995470558631112,1.2834282032005095,1.2834282032005095,3.3819828887770464,,,,,
2024-07-01 18:00:00+02:00,0.40891,0.49632,0.38794,0.38794,0.40891,-0.46976925323726215,2.3741259462469744,2.8418429563649816,2.8418429563649816,-0.46976925323726215,,,,,
2024-07-01 19:00:00+02:00,0.40389,0.54327,0.38646,0.38646,0.40389,-1.2276540069941944,9.459622823984537,-0.38150229416920034,-0.38150229416920034,-1.2276540069941944,,,,,
2024-07-01 20:00:00+02:00,0.40651,0.55148,0.38133,0.38133,0.40651,0.648691475401697,1.5112190991587893,-1.3274336283185861,-1.3274336283185861,0.648691475401697,,,,,
2024-07-01 21:00:00+02:00,0.40321,0.57028,0.37221,0.37221,0.40321,-0.8117881478930333,3.409008486255183,-2.391629297458897,-2.391629297458897,-0.8117881478930333,,,,,
2024-07-01 22:00:00+02:00,0.40572,0.5443,0.36093,0.36093,0.40572,0.6225044021725745,-4.555656870309321,-3.030547271701467,-3.030547271701467,0.6225044021725745,,,,,
2024-07-01 23:00:00+02:00,0.40423,0.50361,0.3501,0.3501,0.40423,-0.3672483486148237,-7.47565680690796,-3.000581830271787,-3.000581830271787,-0.3672483486148237,,,,,
2024-07-02 00:00:00+02:00,0.40594,0.53951,0.31568,0.31568,0.40594,0.42302649481731347,7.128531998967458,-9.831476720936871,-9.831476720936871,0.42302649481731347,0.507563940676925,10.711867189263513,-8.371066991756637,-8.371066991756637,0.507563940676925
