,MAE,RMSE,SMAPE_%
NO1,0.07272766000270195,0.1071264886711989,29.782603839166377
NO2,0.06937861638167375,0.10325331960667655,23.629212758775658
NO3,0.032223295137237144,0.05374000283384434,42.73173597186513
NO4,0.017765554183417225,0.03569896015231689,57.45330822441568
NO5,0.04124690072567434,0.0635337754105178,17.83273298290254
