,MAE,RMSE,MAPE_%
NO1,0.07146006395474913,0.10636800785055466,102.6365650505652
NO2,0.06920531541576987,0.10290972209405981,53.93785876387568
NO3,0.03279875091474447,0.054514758318335736,64.410990130228
NO4,0.01691882502138803,0.03381201369602259,70.32591668584895
NO5,0.037168525220434685,0.060624945178613124,43.81003620066963
