zone,MAE,RMSE,MAPE
NO1,0.17394207744657017,0.25417078628927425,744.9203527761542
NO2,0.1440148365545083,0.19569182131163657,401.4871707765541
NO3,0.10262450120005397,0.12997293141211658,611.0618494557157
NO4,0.039475554816840536,0.07564147826097652,182.12787851912913
NO5,0.11579936285710166,0.15761541344408822,332.8050259456033
