,MAE,RMSE,MAPE
NO1,0.07652348319027183,0.11136521430854904,111.63927824402285
NO2,0.07387850170454545,0.1067819442655174,48.282188304614465
NO3,0.03352658998538011,0.055499618762206854,66.08305066312421
NO4,0.01766526585365854,0.03492627290251805,72.52587305144536
NO5,0.03957640337552743,0.061715616393364654,43.22403384572603
