datetime,NO1_label,NO2_label,NO3_label,NO4_label,NO5_label,NO1_pct_hourly_label,NO2_pct_hourly_label,NO3_pct_hourly_label,NO4_pct_hourly_label,NO5_pct_hourly_label,NO1_pct_daily_label,NO2_pct_daily_label,NO3_pct_daily_label,NO4_pct_daily_label,NO5_pct_daily_label
2025-05-28 04:00:00+02:00,0.68066,0.80066,0.21716,0.02182,0.53056,0.026853332528739227,0.0429198525484884,0.26145803078710417,0.30113297555158014,0.0023805025505385657,164.67317338725357,202.26131601796973,103.3142964141934,18.329718004338385,102.40338763209098
2025-05-28 05:00:00+02:00,0.77551,0.94961,0.23714,0.01803,0.53791,0.13935004260570616,0.1860340219319061,0.09200589427150496,-0.17369385884509614,0.013853287092882915,49.536260388345774,77.54697578760397,20.71264952914227,0.0,12.73866661077694
2025-05-28 06:00:00+02:00,0.83156,1.07192,0.27275,0.0557,0.54227,0.07227501901974165,0.12880024431082226,0.15016445981276894,2.0892956184137548,0.008105445148816726,40.38321938043386,75.73323278194009,19.85849885744417,0.0,13.707276158523808
2025-05-28 07:00:00+02:00,0.80974,1.02426,0.26815,0.03962,0.54905,-0.02623983837606425,-0.044462273303977895,-0.016865261228230954,-0.28868940754039496,0.012502996662179466,42.204348284219016,74.95857745588712,17.837053963789764,0.0,14.715222932597904
2025-05-28 08:00:00+02:00,0.77896,0.96982,0.24358,0.02435,0.54595,-0.03801220144737816,-0.05315056723878697,-0.09162782024986016,-0.3854114083796063,-0.005646116018577563,45.20374305633224,75.53938604112366,19.232463654608644,0.0,13.71115554444724
2025-05-28 09:00:00+02:00,0.77253,0.84557,0.23152,0.02825,0.53952,-0.008254595871418191,-0.12811655771174024,-0.04951145414237612,0.16016427104722797,-0.011777635314589308,118.39538631159364,131.72650041107153,80.21327936483227,15.11817440912797,49.459803867250265
2025-05-28 10:00:00+02:00,0.70156,0.84672,0.23416,0.03928,0.53745,-0.09186698251200609,0.0013600293293281052,0.011402902557014594,0.3904424778761062,-0.0038367437722419684,162.79592448306866,245.98128549830423,140.5094494658997,160.30483764082177,19.84880920524484
2025-05-28 11:00:00+02:00,0.65999,0.77873,0.21487,0.02435,0.53492,-0.059253663264724366,-0.08029809145880573,-0.08237956952511105,-0.38009164969450104,-0.004707414643222663,197.1054290087332,325.3495739567403,142.5169300225734,67.69972451790633,12.086162098734388
2025-05-28 12:00:00+02:00,0.62071,0.71166,0.21142,0.03342,0.53159,-0.059516053273534375,-0.08612741258202472,-0.01605622004002427,0.37248459958932223,-0.0062252299409256695,81.02306862259034,102.1761363636364,61.09417860408413,42.212765957446805,47.35689535689536
2025-05-28 13:00:00+02:00,0.60325,0.68904,0.22015,0.05306,0.51804,-0.028129077991332574,-0.0317848410757946,0.04129221454923848,0.5876720526630761,-0.02548956902876287,42.93330174149981,58.374514445951206,38.55497514003399,93.50838803792854,20.312137117376537
